r_fighter,b_fighter,b_sig_str,b_td,finish_round,method,r_sig_str,r_td,time_sec,winner,winner_fighter
Colby Covington,Joaquin Buckley,72.78,1.0,2.93,Decision - Unanimous,102.06,4.29,276.54428,Red Corner,Colby Covington
Cory Sandhagen,Umar Nurmagomedov,60.04,2.0,2.77,Decision - Unanimous,37.66,1.0,289.4062,Blue Corner,Umar Nurmagomedov
Court McGee,Tim Means,25.72,1.0,1.3,Decision - Unanimous,6.24,2.02,161.25096,Red Corner,Court McGee
Cub Swanson,Andre Fili,17.23,1.0,1.77,Decision - Unanimous,15.77,1.0,189.6121,Red Corner,Cub Swanson
Cub Swanson,Billy Quarantillo,17.58,1.0,2.12,Decision - Unanimous,15.75,1.0,249.11426,Red Corner,Cub Swanson
Damon Jackson,Chepe Mariscal,49.86,1.0,1.07,Decision - Unanimous,10.33,1.0,184.82043,Blue Corner,Chepe Mariscal
Dan Ige,Diego Lopes,34.21,0.0,1.17,Decision - Unanimous,10.25,1.0,114.68491,Red Corner,Dan Ige
Daniel Rodriguez,Alex Morono,33.51,0.61,1.22,Decision - Unanimous,6.89,1.0,118.495346,Red Corner,Daniel Rodriguez
Daniel Zellhuber,Esteban Ribovics,121.87,2.0,2.8,Decision - Unanimous,115.59,0.0,282.371,Red Corner,Daniel Zellhuber
Darren Elkins,Daniel Pineda,28.65,1.0,1.81,Decision - Unanimous,17.94,3.06,202.7799,Red Corner,Darren Elkins
Deiveson Figueiredo,Cody Garbrandt,8.38,1.0,0.59,KO/TKO,22.52,1.0,147.27563,Red Corner,Deiveson Figueiredo
Dennis Buzukja,Francis Marshall,25.91,1.0,1.05,Decision - Unanimous,2.69,0.0,71.33661,Blue Corner,Francis Marshall
Derrick Lewis,Rodrigo Nascimento,64.25,1.0,1.52,Decision - Unanimous,6.62,1.0,213.18558,Red Corner,Derrick Lewis
Dominick Reyes,Anthony Smith,18.5,1.0,0.31,Decision - Unanimous,4.72,1.0,145.47507,Red Corner,Dominick Reyes
Dominick Reyes,Dustin Jacoby,89.91,0.0,1.25,Decision - Unanimous,3.94,1.0,149.09622,Red Corner,Dominick Reyes
Douglas Silva de Andrade,Miles Johns,38.04,3.73,1.85,Decision - Unanimous,27.65,1.0,158.5217,Red Corner,Douglas Silva de Andrade
Drew Dober,Jean Silva,22.92,1.0,1.03,Decision - Unanimous,27.72,1.0,85.36392,Red Corner,Drew Dober
Edgar Chairez,Joshua Van,118.94,0.0,1.26,KO/TKO,7.18,0.0,171.63202,Red Corner,Edgar Chairez
Edmen Shahbazyan,Gerald Meerschaert,46.18,1.0,1.49,Decision - Unanimous,9.8,1.0,191.91405,Red Corner,Edmen Shahbazyan
Edson Barboza,Lerone Murphy,3.4,1.0,0.2,Decision - Unanimous,14.43,1.0,85.20053,Blue Corner,Lerone Murphy
Eduarda Moura,Denise Gomes,66.14,1.5,3.04,Decision - Unanimous,39.34,3.31,217.25601,Blue Corner,Denise Gomes
Erin Blanchfield,Manon Fiorot,94.5,1.3,2.83,Decision - Unanimous,59.18,4.59,293.0607,Red Corner,Erin Blanchfield
Erin Blanchfield,Rose Namajunas,96.39,1.0,3.13,Decision - Unanimous,59.53,4.56,223.6516,Red Corner,Erin Blanchfield
Evan Elder,Darrius Flowers,32.74,1.0,1.77,KO/TKO,86.81,1.0,224.44073,Red Corner,Evan Elder
Fares Ziam,Matt Frevola,34.97,1.0,1.69,Decision - Unanimous,58.85,1.98,209.42105,Red Corner,Fares Ziam
Gabriel Bonfim,Ange Loosa,130.6,1.0,2.93,Submission,37.54,2.76,290.75577,Blue Corner,Ange Loosa
Grant Dawson,Joe Solecki,0.44,1.0,0.01,KO/TKO,0.1,3.04,72.03523,Red Corner,Grant Dawson
Grant Dawson,Rafa Garcia,133.54,1.0,1.24,KO/TKO,0.07,3.05,199.39738,Red Corner,Grant Dawson
Ian Machado Garry,Michael Page,36.03,0.0,2.06,Decision - Unanimous,119.52,1.0,272.32196,Red Corner,Ian Machado Garry
Ignacio Bahamondes,Christos Giagos,36.89,1.0,1.83,Decision - Unanimous,52.21,0.0,221.58737,Red Corner,Ignacio Bahamondes
Irene Aldana,Norma Dumont,32.24,1.0,2.93,Decision - Unanimous,114.38,0.0,269.71848,Red Corner,Irene Aldana
Islam Makhachev,Dustin Poirier,57.85,1.0,1.58,Decision - Unanimous,36.86,1.0,122.39885,Red Corner,Islam Makhachev
Ismael Bonfim,Vinc Pichel,48.7,1.0,0.98,Decision - Unanimous,12.29,1.0,240.49933,Blue Corner,Vinc Pichel
Ismail Naurdiev,Bruno Silva,20.13,1.0,1.82,Decision - Unanimous,23.07,2.0,181.91325,Blue Corner,Bruno Silva
JJ Aldrich,Veronica Hardy,54.12,2.0,1.98,Decision - Unanimous,65.19,1.0,210.46523,Red Corner,JJ Aldrich
Jack Jenkins,Herbert Burns,7.08,1.3,1.24,Decision - Unanimous,38.4,1.0,118.560036,Red Corner,Jack Jenkins
Jack Shore,Joanderson Brito,10.33,1.0,1.0,KO/TKO,28.71,3.17,137.45105,Red Corner,Jack Shore
Jai Herbert,Rolando Bedoya,106.93,0.0,3.25,Decision - Unanimous,53.22,0.0,227.29227,Red Corner,Jai Herbert
Jake Hadley,Caolan Loughran,46.66,2.0,1.26,Decision - Unanimous,9.79,0.0,195.2623,Blue Corner,Caolan Loughran
Jalin Turner,Renato Moicano,9.08,1.0,1.07,Decision - Unanimous,30.93,1.0,120.62003,Red Corner,Jalin Turner
Jared Cannonier,Caio Borralho,13.95,1.0,2.21,Decision - Unanimous,116.17,1.0,272.14963,Red Corner,Jared Cannonier
Jared Cannonier,Nassourdine Imavov,104.95,0.61,3.05,Decision - Unanimous,126.52,1.0,219.25766,Blue Corner,Nassourdine Imavov
Jeka Saragih,Westin Wilson,4.55,0.0,0.09,Decision - Unanimous,3.69,1.0,87.97584,Red Corner,Jeka Saragih
Jessica Penne,Elise Reed,4.8,1.0,0.99,Decision - Unanimous,10.87,2.03,224.46832,Red Corner,Jessica Penne
Jim Miller,Damon Jackson,67.34,1.0,2.49,Submission,82.18,1.0,275.61826,Blue Corner,Damon Jackson
Jimmy Flick,Nate Maness,5.89,1.0,0.53,Decision - Unanimous,12.0,0.0,187.62393,Red Corner,Jimmy Flick
Joaquim Silva,Drakkar Klose,11.36,2.39,1.81,Decision - Unanimous,45.45,0.0,168.97032,Red Corner,Joaquim Silva
Joaquin Buckley,Nursulton Ruziboev,3.94,1.0,1.12,Decision - Unanimous,27.14,1.0,139.14656,Red Corner,Joaquin Buckley
Joel Alvarez,Drakkar Klose,15.8,2.39,1.08,KO/TKO,3.55,0.0,115.154816,Red Corner,Joel Alvarez
John Castaneda,Daniel Marcos,46.75,1.0,2.22,Decision - Unanimous,105.83,3.16,276.45486,Red Corner,John Castaneda
Johnny Walker,Volkan Oezdemir,80.47,1.0,1.28,Decision - Unanimous,1.78,1.0,223.97858,Blue Corner,Volkan Oezdemir
Jon Jones,Stipe Miocic,117.2,1.0,1.32,Decision - Unanimous,20.15,1.0,121.271774,Red Corner,Jon Jones
Jonathan Martinez,Marcus McGhee,6.19,0.0,0.91,Decision - Unanimous,32.3,1.0,181.69516,Blue Corner,Marcus McGhee
Jonathan Pearce,David Onama,68.6,1.0,2.03,Decision - Split,6.2,2.01,268.6866,Blue Corner,David Onama
Jonathan Pearce,Pat Sabatini,1.01,0.0,1.06,KO/TKO,11.26,2.04,121.67389,Red Corner,Jonathan Pearce
Josefine Knutsson,Piera Rodriguez,12.61,1.0,2.04,Decision - Unanimous,79.5,3.0,256.69052,Red Corner,Josefine Knutsson
Josh Fremd,Andre Petroski,0.83,1.0,0.92,KO/TKO,40.98,0.0,217.21484,Red Corner,Josh Fremd
Josh Quinlan,Adam Fugitt,10.23,1.0,1.48,Submission,34.69,1.0,130.21844,Red Corner,Josh Quinlan
Joshua Van,Charles Johnson,71.68,1.0,2.71,Decision - Unanimous,80.26,1.0,274.02103,Red Corner,Joshua Van
Julian Erosa,Christian Rodriguez,31.65,1.0,0.97,Decision - Unanimous,12.63,1.0,221.99294,Blue Corner,Christian Rodriguez
Julio Arce,Herbert Burns,5.83,1.3,1.69,Decision - Unanimous,33.93,1.0,185.29231,Red Corner,Julio Arce
Justin Gaethje,Max Holloway,134.52,0.0,3.17,Decision - Unanimous,97.28,1.0,230.25471,Red Corner,Justin Gaethje
Karol Rosa,Pannie Kianzad,27.84,1.0,2.4,Decision - Unanimous,37.18,2.02,279.27426,Red Corner,Karol Rosa
